,name,count,probability,cumulative_probability
1979,MCGOVERN,16739,0.00011275137944970955,0.11330045893159142
1978,BAGLEY,16739,0.00011275137944970955,0.11341321031104114
1977,PAPPAS,16754,0.00011285241718743257,0.11352606272822857
1976,ATWOOD,16754,0.00011285241718743257,0.113638915145416
1975,DUTTON,16774,0.00011298713417106326,0.11375190227958706
1974,FAGAN,16779,0.00011302081341697093,0.11386492309300403
1973,MARRERO,16783,0.00011304775681369707,0.11397797084981773
1972,QUIGLEY,16810,0.00011322962474159851,0.11409120047455933
1971,KENNY,16811,0.00011323636059078005,0.11420443683515011
1970,GAMEZ,16812,0.00011324309643996158,0.11431767993159007
1969,PARIS,16813,0.00011324983228914312,0.11443092976387921
1968,STALLINGS,16819,0.00011329024738423233,0.11454422001126344
1967,MATOS,16819,0.00011329024738423233,0.11465751025864766
1966,HIDALGO,16824,0.00011332392663014,0.11477083418527781
1965,OKEEFE,16829,0.00011335760587604768,0.11488419179115386
1964,BAIN,16845,0.00011346537946295223,0.11499765717061682
1963,BENEDICT,16846,0.00011347211531213376,0.11511112928592895
1962,SNEED,16855,0.00011353273795476758,0.11522466202388372
1961,SONG,16856,0.0001135394738039491,0.11533820149768767
1960,OLIVARES,16857,0.00011354620965313064,0.1154517477073408
1959,AKINS,16860,0.00011356641720067524,0.11556531412454148
1958,HIRSCH,16864,0.00011359336059740138,0.11567890748513888
1957,SOLANO,16869,0.00011362703984330906,0.1157925345249822
1956,HUDDLESTON,16872,0.00011364724739085367,0.11590618177237305
1955,ROSENTHAL,16881,0.00011370787003348748,0.11601988964240655
1954,COON,16890,0.0001137684926761213,0.11613365813508267
1953,JEFFERS,16895,0.00011380217192202896,0.1162474603070047
1952,CHAMPION,16900,0.00011383585116793664,0.11636129615817263
1951,WALDRON,16908,0.00011388973796138892,0.11647518589613402
1950,WELLER,16916,0.0001139436247548412,0.11658912952088886
1949,FINNEY,16919,0.00011396383230238579,0.11670309335319125
1948,EASON,16923,0.00011399077569911193,0.11681708412889036
1947,ALLRED,16951,0.00011417937947619491,0.11693126350836655
1946,OTERO,16956,0.00011421305872210258,0.11704547656708865
1945,BURROWS,16972,0.00011432083230900713,0.11715979739939765
1944,MCLAIN,16978,0.00011436124740409634,0.11727415864680174
1943,MALLORY,16987,0.00011442187004673016,0.11738858051684847
1942,OAKES,17008,0.00011456332287954238,0.11750314383972801
1940,GRECO,17013,0.00011459700212545006,0.11761774084185346
1941,MOTT,17013,0.00011459700212545006,0.11773233784397891
1939,LUKE,17016,0.00011461720967299467,0.1178469550536519
1938,ALDRICH,17017,0.0001146239455221762,0.11796157899917409
1937,OMALLEY,17027,0.00011469130401399154,0.11807627030318808
1936,DRUMMOND,17032,0.00011472498325989922,0.11819099528644798
1935,MCCORMACK,17074,0.00011500788892552368,0.1183060031753735
1934,BUSCH,17089,0.0001151089266632467,0.11842111210203675
1933,CRAIN,17110,0.00011525037949605892,0.1185363624815328
1932,FELICIANO,17112,0.00011526385119442199,0.11865162633272723
1930,CROWELL,17136,0.00011542551157477882,0.11876705184430202
